",,,,,,,,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,,-additional"
"Class.,Jogador,Nação,Pos.,Equipe,Camp.,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,-9999"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999"
"2444,Dávid Strelec,sk SVK,AT,Spezia,it Serie A,22-003,2001,7,1,169,1.9,0,0,0,0,0,0,0,0,0.5,0.5,0.1,06,2,1,14,000,000,000,000,000,028,005,033,028,033,Partidas,2cb9486d"
"2445,Pascal Struijk,nl NED,ZG,Leeds United,eng Premier League,23-239,1999,23,22,1.867,20.7,2,1,3,2,0,0,4,0,1.2,1.2,2.3,36,22,109,45,010,005,014,010,014,006,011,017,006,017,Partidas,f4d296e4"
"2446,Cristhian Stuani,uy URU,AT,Girona,es La Liga,36-177,1986,22,5,716,8.0,7,0,7,3,4,5,6,0,7.5,3.6,0.9,45,1,9,17,088,000,088,038,038,094,011,105,044,056,Partidas,220c11f1"
"2447,Damián Suárez,uy URU,ZGLT,Getafe,es La Liga,34-345,1988,18,16,1.176,13.1,1,0,1,1,0,0,3,0,0.3,0.3,1.1,14,13,54,47,008,000,008,008,008,002,008,011,002,011,Partidas,ba5004e1"
"2448,Denis Suárez,es ESP,LT,Espanyol,es La Liga,29-091,1994,8,4,399,4.4,0,0,0,0,0,0,1,0,0.4,0.4,0.7,11,13,16,16,000,000,000,000,000,009,015,025,009,025,Partidas,12c50af5"
"2449,Mario Suárez,es ESP,ZGLT,Rayo Vallecano,es La Liga,36-042,1987,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,7106f0a0"
"2450,Gabriel Suazo,cl CHI,ZG,Toulouse,fr Ligue 1,25-241,1997,10,8,701,7.8,0,1,1,0,0,0,0,0,0.1,0.1,0.4,05,14,41,33,000,013,013,000,013,001,005,006,001,006,Partidas,39b326ed"
"2451,Isaac Success,ng NGA,AT,Udinese,it Serie A,27-090,1996,27,18,1.614,17.9,0,6,6,0,0,0,3,0,3.1,3.1,3.9,69,35,49,184,000,033,033,000,033,017,022,039,017,039,Partidas,f573a8bf"
"2452,Niklas Süle,de GER,ZG,Dortmund,de Bundesliga,27-216,1995,22,17,1.512,16.8,1,3,4,1,0,0,1,0,1.3,1.3,1.8,31,21,93,49,006,018,024,006,024,008,011,018,008,018,Partidas,e33c06cf"
"2453,Ibrahim Sulemana,gh GHA,LT,Hellas Verona,it Serie A,19-320,2003,11,3,357,4.0,0,0,0,0,0,0,3,0,0.3,0.3,0.2,05,3,11,5,000,000,000,000,000,008,005,013,008,013,Partidas,230c3f3a"
"2454,Kamaldeen Sulemana,gh GHA,ATLT,Southampton,eng Premier League,21-051,2002,9,6,557,6.2,0,0,0,0,0,0,1,0,0.7,0.7,0.4,10,17,25,53,000,000,000,000,000,011,006,017,011,017,Partidas,a62f8bf1"
"2455,Kamaldeen Sulemana,gh GHA,ATLT,Rennes,fr Ligue 1,21-051,2002,14,2,326,3.6,1,0,1,1,0,0,1,0,1.4,1.4,0.6,19,17,18,57,028,000,028,028,028,038,016,054,038,054,Partidas,a62f8bf1"
"2456,Crysencio Summerville,nl NED,AT,Leeds United,eng Premier League,21-159,2001,22,10,1.108,12.3,4,2,6,4,0,0,3,0,2.5,2.5,1.3,38,46,36,68,032,016,049,032,049,021,011,031,021,031,Partidas,df04eb4b"
"2457,Ivan Šunjić,hr CRO,LT,Hertha BSC,de Bundesliga,26-180,1996,18,12,993,11.0,0,0,0,0,0,0,4,0,0.6,0.6,0.2,08,6,30,6,000,000,000,000,000,006,001,007,006,007,Partidas,e18098de"
"2458,Sam Surridge,eng ENG,AT,Nott'ham Forest,eng Premier League,24-253,1998,16,1,281,3.1,1,0,1,1,0,0,2,0,1.8,1.8,0.1,18,2,6,14,032,000,032,032,032,057,002,059,057,059,Partidas,b017b770"
"2459,Suso,es ESP,LTAT,Sevilla,es La Liga,29-139,1993,16,5,620,6.9,1,1,2,1,0,0,1,0,0.7,0.7,1.6,23,17,57,66,015,015,029,015,029,011,023,034,011,034,Partidas,4e219ad2"
"2460,Mattias Svanberg,se SWE,LT,Wolfsburg,de Bundesliga,24-092,1999,24,15,1.328,14.8,2,4,6,2,0,0,4,0,1.9,1.9,3.3,52,16,57,53,014,027,041,014,041,013,022,035,013,035,Partidas,92d83c27"
"2461,Williot Swedberg,se SWE,LT,Celta Vigo,es La Liga,19-065,2004,2,0,35,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,00,0,3,4,000,000,000,000,000,000,000,000,000,000,Partidas,184fe4b2"
"2462,Issiaga Sylla,gn GUI,ZG,Montpellier,fr Ligue 1,29-096,1994,8,8,720,8.0,0,3,3,0,0,0,0,0,0.2,0.2,1.8,20,23,45,37,000,037,037,000,037,003,023,025,003,025,Partidas,b99bec05"
"2463,Issiaga Sylla,gn GUI,ZG,Toulouse,fr Ligue 1,29-096,1994,17,16,1.372,15.2,0,0,0,0,0,0,3,0,0.4,0.4,0.5,09,51,95,107,000,000,000,000,000,003,003,006,003,006,Partidas,b99bec05"
"2464,Wojciech Szczęsny,pl POL,G,Juventus,it Serie A,32-354,1990,20,20,1.752,19.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,01b8a2b2"
"2465,Dominik Szoboszlai,hu HUN,LTAT,RB Leipzig,de Bundesliga,22-164,2000,24,22,1.893,21.0,4,8,12,4,0,0,1,1,2.7,2.7,7.2,98,60,123,110,019,038,057,019,057,013,034,047,013,047,Partidas,934e1968"
"2466,Alexander Sørloth,no NOR,AT,Real Sociedad,es La Liga,27-123,1995,23,21,1.724,19.2,9,1,10,9,0,0,4,0,8.8,8.8,1.3,101,26,14,94,047,005,052,047,052,046,007,053,046,053,Partidas,e92cd3f7"
"2467,Alexander Sørloth,no NOR,AT,RB Leipzig,de Bundesliga,27-123,1995,1,0,6,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,00,0,0,1,000,000,000,000,000,000,000,000,000,000,Partidas,e92cd3f7"
"2468,Nicolás Tagliafico,ar ARG,ZG,Lyon,fr Ligue 1,30-219,1992,27,27,2.406,26.7,1,3,4,1,0,0,4,0,2.2,1.7,3.4,51,30,131,142,004,011,015,004,015,008,013,021,006,019,Partidas,f0661424"
"2469,Jonathan Tah,de GER,ZG,Leverkusen,de Bundesliga,27-055,1996,25,21,1.854,20.6,1,0,1,1,0,0,6,0,1.0,1.0,0.4,14,3,36,4,005,000,005,005,005,005,002,007,005,007,Partidas,bd142efb"
"2470,Benjamin Tahirovic,ba BIH,LT,Roma,it Serie A,20-035,2003,5,1,136,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,01,0,1,2,000,000,000,000,000,000,005,005,000,005,Partidas,eb3022c3"
"2471,Waniss Taibi,fr FRA,LT,Angers,fr Ligue 1,21-031,2002,10,1,186,2.1,0,1,1,0,0,0,1,0,0.3,0.3,0.1,04,8,15,7,000,048,048,000,048,015,003,018,015,018,Partidas,95192fe4"
"2472,Flavien Tait,fr FRA,LT,Rennes,fr Ligue 1,30-064,1993,24,16,1.425,15.8,2,2,4,2,0,0,2,0,1.9,1.9,2.0,39,42,136,44,013,013,025,013,025,012,013,025,012,025,Partidas,a0f9b535"
"2473,Montassar Talbi,tn TUN,ZG,Lorient,fr Ligue 1,24-316,1998,29,29,2.610,29.0,1,1,2,1,0,0,0,0,0.7,0.7,0.2,09,12,47,0,003,003,007,003,007,002,001,003,002,003,Partidas,a4a44eb0"
"2474,Adrien Tameze,cm CMR,LT,Hellas Verona,it Serie A,29-062,1994,27,25,2.191,24.3,0,0,0,0,0,0,2,0,0.7,0.7,0.7,14,20,87,41,000,000,000,000,000,003,003,006,003,006,Partidas,8da74c05"
"2475,Japhet Tanganga,eng ENG,ZG,Tottenham,eng Premier League,24-007,1999,2,2,141,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,1,5,2,000,000,000,000,000,000,000,000,000,000,Partidas,e9971f2d"
"2476,Renato Tapia,pe PER,LTZG,Celta Vigo,es La Liga,27-253,1995,19,9,847,9.4,0,0,0,0,0,0,5,1,0.4,0.4,0.7,11,6,39,7,000,000,000,000,000,004,008,012,004,012,Partidas,34269bdf"
"2477,Edmond Tapsoba,bf BFA,ZG,Leverkusen,de Bundesliga,24-064,1999,26,25,2.241,24.9,1,0,1,0,1,2,3,0,2.3,0.7,0.9,17,29,118,4,004,000,004,000,000,009,004,013,003,007,Partidas,a73c8f95"
"2478,Florian Tardieu,fr FRA,LT,Troyes,fr Ligue 1,30-350,1992,14,11,1.008,11.2,3,0,3,0,3,3,2,0,2.9,0.5,1.0,15,20,83,17,027,000,027,000,000,026,009,035,005,014,Partidas,ed39121c"
"2479,Matt Targett,eng ENG,ZG,Newcastle Utd,eng Premier League,27-201,1995,12,4,436,4.8,0,0,0,0,0,0,0,0,0.0,0.0,0.3,03,2,32,12,000,000,000,000,000,000,007,007,000,007,Partidas,e514ab62"
"2480,James Tarkowski,eng ENG,ZG,Everton,eng Premier League,30-139,1992,29,29,2.610,29.0,1,1,2,1,0,0,6,0,2.0,2.0,1.8,38,11,79,6,003,003,007,003,007,007,006,013,007,013,Partidas,15ea812b"
"2481,Ciprian Tătărușanu,ro ROU,G,Milan,it Serie A,37-057,1986,16,16,1.440,16.0,0,1,1,0,0,0,0,0,0.0,0.0,0.5,05,0,0,0,000,006,006,000,006,000,003,003,000,003,Partidas,b056e3da"
"2482,Niklas Tauer,de GER,ZGLT,Mainz 05,de Bundesliga,22-049,2001,3,0,93,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,01,1,6,4,000,000,000,000,000,007,000,007,007,007,Partidas,27270af4"
"2483,Nuno Tavares,pt POR,ZGLT,Marseille,fr Ligue 1,23-071,2000,25,21,2.026,22.5,6,0,6,6,0,0,4,1,3.9,3.9,2.4,63,85,95,211,027,000,027,027,027,017,011,028,017,028,Partidas,a65c844b"
"2484,Marcus Tavernier,eng ENG,LTAT,Bournemouth,eng Premier League,24-016,1999,19,16,1.445,16.1,4,4,8,4,0,0,1,0,2.5,2.5,2.4,49,51,39,109,025,025,050,025,050,016,015,030,016,030,Partidas,5c0da4a4"
"2485,Enzo Tchato,cm CMR,ZG,Montpellier,fr Ligue 1,20-135,2002,19,10,995,11.1,1,1,2,1,0,0,1,0,0.4,0.4,1.1,15,22,32,56,009,009,018,009,018,003,010,013,003,013,Partidas,7f783431"
"2486,Aurélien Tchouaméni,fr FRA,LT,Real Madrid,es La Liga,23-070,2000,22,16,1.354,15.0,0,3,3,0,0,0,1,0,1.0,1.0,1.7,26,23,98,14,000,020,020,000,020,007,011,017,007,017,Partidas,4f255115"
"2487,Mathys Tel,fr FRA,AT,Bayern Munich,de Bundesliga,17-345,2005,16,1,319,3.5,4,0,4,4,0,0,2,0,1.6,1.6,0.4,21,12,9,42,113,000,113,113,113,046,012,059,046,059,Partidas,829aa60c"
"2488,Semir Telalovic,de GER,LTAT,M'Gladbach,de Bundesliga,23-105,1999,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,0b45a8d7"
"2489,Alex Telles,br BRA,ZG,Sevilla,es La Liga,30-113,1992,19,10,1.001,11.1,0,2,2,0,0,0,4,0,0.3,0.3,1.0,14,18,27,67,000,018,018,000,018,003,009,012,003,012,Partidas,e73c9bb2"
"2490,Marc-André ter Stegen,de GER,G,Barcelona,es La Liga,30-342,1992,27,27,2.430,27.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,01,0,3,0,000,000,000,000,000,000,000,000,000,000,Partidas,6f51e382"
"2491,Simon Terodde,de GER,AT,Schalke 04,de Bundesliga,35-036,1988,26,16,1.400,15.6,3,0,3,3,0,1,4,0,4.9,4.2,1.3,55,3,14,59,019,000,019,019,019,032,009,040,027,035,Partidas,863ff1ee"
"2492,Filippo Terracciano,it ITA,ZGLT,Hellas Verona,it Serie A,20-058,2003,14,4,545,6.1,0,0,0,0,0,0,1,0,0.1,0.1,0.9,10,11,25,19,000,000,000,000,000,002,015,017,002,017,Partidas,5cbb5ad6"
"2493,Pietro Terracciano,it ITA,G,Fiorentina,it Serie A,33-030,1990,24,24,2.160,24.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,e1b0a70d"
"2494,Ramón Terrats,es ESP,LT,Villarreal,es La Liga,22-171,2000,6,5,365,4.1,0,1,1,0,0,0,1,0,0.5,0.5,1.2,18,15,28,15,000,025,025,000,025,014,030,044,014,044,Partidas,f36016a5"
"2495,Ramón Terrats,es ESP,LT,Girona,es La Liga,22-171,2000,8,2,212,2.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,02,4,6,4,000,000,000,000,000,008,002,010,008,010,Partidas,f36016a5"
"2496,Martin Terrier,fr FRA,ATLT,Rennes,fr Ligue 1,26-034,1997,16,16,1.319,14.7,9,4,13,9,0,0,0,0,5.6,5.6,3.4,90,34,60,137,061,027,089,061,089,038,023,061,038,061,Partidas,5148dcc5"
"2497,Aleksa Terzić,rs SRB,ZG,Fiorentina,it Serie A,23-233,1999,14,4,503,5.6,0,0,0,0,0,0,0,0,0.2,0.2,1.1,13,26,27,36,000,000,000,000,000,004,019,023,004,023,Partidas,3ef0a2d7"
"2498,Tetê,br BRA,AT,Leicester City,eng Premier League,23-051,2000,8,7,495,5.5,1,0,1,1,0,0,0,0,1.3,1.3,0.1,14,18,15,37,018,000,018,018,018,023,002,025,023,025,Partidas,7120a04d"
"2499,Tetê,br BRA,ATLT,Lyon,fr Ligue 1,23-051,2000,17,14,1.107,12.3,6,2,8,6,0,0,3,0,4.2,4.2,1.3,55,49,52,130,049,016,065,049,065,035,010,045,035,045,Partidas,7120a04d"
"2500,Kenny Tete,nl NED,ZG,Fulham,eng Premier League,27-180,1995,22,21,1.849,20.5,0,4,4,0,0,0,7,0,0.4,0.4,1.5,19,48,68,46,000,019,019,000,019,002,007,009,002,009,Partidas,77d7c96f"
"2501,Florian Thauvin,fr FRA,ATLT,Udinese,it Serie A,30-071,1993,8,2,270,3.0,0,0,0,0,0,0,0,0,0.3,0.3,0.5,09,9,12,21,000,000,000,000,000,011,018,029,011,029,Partidas,2b9fdeea"
"2502,Arthur Theate,be BEL,ZG,Rennes,fr Ligue 1,22-317,2000,28,28,2.512,27.9,2,0,2,2,0,0,3,0,3.1,3.1,0.5,36,24,194,3,007,000,007,007,007,011,002,013,011,013,Partidas,df8d6029"
"2503,Malick Thiaw,de GER,ZG,Milan,it Serie A,21-242,2001,11,8,684,7.6,0,0,0,0,0,0,3,0,0.5,0.5,0.2,07,4,22,2,000,000,000,000,000,007,002,009,007,009,Partidas,ff5ea0bf"
"2504,Malick Thiaw,de GER,ZG,Schalke 04,de Bundesliga,21-242,2001,3,3,270,3.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,02,1,3,0,000,000,000,000,000,008,000,008,008,008,Partidas,ff5ea0bf"
"2505,Jan Thielmann,de GER,AT,Köln,de Bundesliga,20-316,2002,15,5,571,6.3,1,1,2,1,0,0,2,0,0.6,0.6,0.1,07,13,6,33,016,016,032,016,032,009,002,011,009,011,Partidas,fd53759d"
"2506,Sada Thioub,sn SEN,ATLT,Angers,fr Ligue 1,27-310,1995,20,5,572,6.4,0,1,1,0,0,0,2,0,0.8,0.8,1.2,20,13,39,57,000,016,016,000,016,012,019,031,012,031,Partidas,f4bc42b1"
"2507,Luke Thomas,eng ENG,ZG,Leicester City,eng Premier League,21-301,2001,11,8,722,8.0,0,0,0,0,0,0,1,0,0.1,0.1,0.6,07,7,37,7,000,000,000,000,000,001,008,009,001,009,Partidas,fc027d02"
"2508,Adrien Thomasson,fr FRA,LT,Strasbourg,fr Ligue 1,29-118,1993,15,10,937,10.4,0,2,2,0,0,0,2,0,1.5,1.5,1.9,34,15,41,73,000,019,019,000,019,015,018,033,015,033,Partidas,c76b7567"
"2509,Adrien Thomasson,fr FRA,LTAT,Lens,fr Ligue 1,29-118,1993,11,8,663,7.4,2,2,4,2,0,0,1,0,1.5,1.5,0.9,24,14,31,51,027,027,054,027,054,020,013,033,020,033,Partidas,c76b7567"
"2510,Morten Thorsby,no NOR,LT,Union Berlin,de Bundesliga,26-337,1996,18,6,653,7.3,1,1,2,1,0,0,3,0,0.6,0.6,0.4,10,0,13,18,014,014,028,014,028,008,006,014,008,014,Partidas,d1b49282"
"2511,Kristian Thorstvedt,no NOR,LT,Sassuolo,it Serie A,24-025,1999,24,12,1.003,11.1,2,1,3,2,0,0,4,0,1.9,1.9,1.1,30,26,49,48,018,009,027,018,027,017,010,027,017,027,Partidas,76ff8d0d"
"2512,Marcus Thuram,fr FRA,AT,M'Gladbach,de Bundesliga,25-244,1997,25,23,2.087,23.2,12,3,15,12,0,0,3,0,13.5,13.5,3.6,171,61,41,133,052,013,065,052,065,058,016,074,058,074,Partidas,6f8cd6d0"
"2513,Khéphren Thuram-Ulie,fr FRA,LT,Nice,fr Ligue 1,22-012,2001,29,24,2.097,23.3,2,4,6,2,0,0,2,0,2.8,2.8,3.9,66,74,100,59,009,017,026,009,026,012,017,028,012,028,Partidas,7d9397f8"
"2514,Alexis Tibidi,fr FRA,ATLT,Troyes,fr Ligue 1,19-155,2003,3,0,74,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,1,0,4,000,000,000,000,000,000,000,000,000,000,Partidas,ca6f4846"
"2515,Youri Tielemans,be BEL,LT,Leicester City,eng Premier League,25-335,1997,23,19,1.708,19.0,3,1,4,2,1,2,3,0,2.3,0.7,3.7,44,27,143,47,016,005,021,011,016,012,019,031,004,023,Partidas,56f7a928"
"2516,Kieran Tierney,sct SCO,ZG,Arsenal,eng Premier League,25-306,1997,20,4,531,5.9,0,1,1,0,0,0,0,0,0.3,0.3,0.3,06,19,29,23,000,017,017,000,017,004,006,010,004,010,Partidas,fce2302c"
"2517,Steffen Tigges,de GER,AT,Köln,de Bundesliga,24-250,1998,23,16,1.351,15.0,5,1,6,5,0,0,1,0,3.2,3.2,1.4,46,16,25,67,033,007,040,033,040,021,009,031,021,031,Partidas,6b8887c2"
"2518,Jean-Clair Todibo,fr FRA,ZG,Nice,fr Ligue 1,23-098,1999,27,27,2.299,25.5,0,0,0,0,0,0,4,2,0.4,0.4,0.2,06,18,123,6,000,000,000,000,000,002,001,002,002,002,Partidas,88f130ed"
"2519,Harry Toffolo,eng ENG,ZG,Nott'ham Forest,eng Premier League,27-231,1995,14,8,789,8.8,0,0,0,0,0,0,1,0,0.2,0.2,0.7,09,8,25,39,000,000,000,000,000,003,008,011,003,011,Partidas,a105d46a"
"2520,Umut Tohumcu,de GER,LT,Hoffenheim,de Bundesliga,18-239,2004,5,2,230,2.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,02,2,7,2,000,000,000,000,000,004,002,006,004,006,Partidas,e547d3cf"
"2521,Karl Toko Ekambi,cm CMR,LTAT,Rennes,fr Ligue 1,30-205,1992,9,7,580,6.4,1,0,1,1,0,0,0,0,2.0,2.0,1.0,30,22,15,55,016,000,016,016,016,031,015,046,031,046,Partidas,5ceba7fc"
"2522,Karl Toko Ekambi,cm CMR,ATLT,Lyon,fr Ligue 1,30-205,1992,19,15,1.353,15.0,4,2,6,4,0,0,1,0,4.4,4.4,3.0,74,58,36,188,027,013,040,027,040,030,020,049,030,049,Partidas,5ceba7fc"
"2523,Corentin Tolisso,fr FRA,LT,Lyon,fr Ligue 1,28-247,1994,22,17,1.337,14.9,0,1,1,0,0,0,2,0,0.8,0.8,2.9,38,22,162,41,000,007,007,000,007,005,020,025,005,025,Partidas,652d4c37"
"2524,Jeremy Toljan,de GER,ZG,Sassuolo,it Serie A,28-242,1994,22,21,1.949,21.7,0,1,1,0,0,0,2,0,0.5,0.5,2.4,29,36,98,70,000,005,005,000,005,002,011,013,002,013,Partidas,a96e5dc0"
"2525,Rafael Tolói,it ITA,ZG,Atalanta,it Serie A,32-179,1990,23,23,1.975,21.9,1,1,2,1,0,0,5,0,2.4,2.4,1.0,33,16,114,27,005,005,009,005,009,011,004,015,011,015,Partidas,c56dc39e"
"2526,Raúl de Tomás,es ESP,AT,Rayo Vallecano,es La Liga,28-172,1994,9,2,267,3.0,0,0,0,0,0,1,1,0,2.4,1.6,0.3,19,3,4,15,000,000,000,000,000,079,010,089,053,063,Partidas,02ef8778"
"2527,Tiago Tomás,pt POR,ATLT,Stuttgart,de Bundesliga,20-295,2002,20,13,1.015,11.3,2,3,5,2,0,0,1,0,2.2,2.2,2.8,51,25,17,66,018,027,044,018,044,020,025,045,020,045,Partidas,b492126a"
"2528,Takehiro Tomiyasu,jp JPN,ZG,Arsenal,eng Premier League,24-153,1998,21,6,663,7.4,0,1,1,0,0,0,2,0,0.2,0.2,0.6,08,14,51,28,000,014,014,000,014,003,008,011,003,011,Partidas,b3af9be1"
"2529,James Tomkins,eng ENG,ZG,Crystal Palace,eng Premier League,34-009,1989,5,3,337,3.7,1,0,1,1,0,0,3,1,1.0,1.0,0.0,10,1,2,1,027,000,027,027,027,027,000,027,027,027,Partidas,e7ca0439"
"2530,Fikayo Tomori,eng ENG,ZG,Milan,it Serie A,25-109,1997,25,24,2.102,23.4,1,0,1,1,0,0,3,0,1.2,1.2,0.4,16,18,82,9,004,000,004,004,004,005,002,007,005,007,Partidas,7edfbb8a"
"2531,Sandro Tonali,it ITA,LT,Milan,it Serie A,22-334,2000,25,22,2.019,22.4,2,5,7,2,0,0,7,0,2.0,2.0,3.6,56,43,97,52,009,022,031,009,031,009,016,025,009,025,Partidas,0db169ae"
"2532,Ivan Toney,eng ENG,AT,Brentford,eng Premier League,27-022,1996,27,27,2.419,26.9,17,4,21,12,5,5,9,0,15.6,11.6,4.3,159,10,64,131,063,015,078,045,060,058,016,074,043,059,Partidas,e09f279b"
"2533,Pablo Torre,es ESP,LTAT,Barcelona,es La Liga,20-004,2003,3,0,42,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,1,3,4,000,000,000,000,000,000,000,000,000,000,Partidas,04e531b6"
"2534,David Torres,es ESP,ZG,Valladolid,es La Liga,20-033,2003,3,1,131,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,1,5,2,000,000,000,000,000,000,001,001,000,001,Partidas,381dbcfc"
"2535,Ferrán Torres,es ESP,AT,Barcelona,es La Liga,23-037,2000,24,11,1.090,12.1,3,1,4,3,0,1,4,1,4.7,3.9,3.6,75,36,35,154,025,008,033,025,033,039,030,068,032,062,Partidas,9e1035f8"
"2536,Óliver Torres,es ESP,LTAT,Sevilla,es La Liga,28-148,1994,25,22,1.692,18.8,3,1,4,3,0,0,1,0,1.9,1.9,3.0,49,25,114,130,016,005,021,016,021,010,016,026,010,026,Partidas,58a9a4d9"
"2537,Pau Torres,es ESP,ZG,Villarreal,es La Liga,26-081,1997,24,24,2.154,23.9,0,0,0,0,0,0,9,0,1.0,1.0,0.7,17,55,137,8,000,000,000,000,000,004,003,007,004,007,Partidas,532e1e4f"
"2538,Roberto Torres,es ESP,ATLT,Osasuna,es La Liga,34-031,1989,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.3,03,2,0,1,000,000,000,000,000,000,213,213,000,213,Partidas,d733aa38"
"2539,Lucas Torró,es ESP,LT,Osasuna,es La Liga,28-262,1994,26,25,1.968,21.9,0,0,0,0,0,0,9,0,0.9,0.9,0.2,11,11,85,14,000,000,000,000,000,004,001,005,004,005,Partidas,0e4fef6e"
"2540,Nabil Touaizi,ma MAR,LT,Espanyol,es La Liga,22-065,2001,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,1,1,000,000,000,000,000,000,000,000,000,000,Partidas,e96b2583"
"2541,Almamy Touré,ml MLI,ZG,Eint Frankfurt,de Bundesliga,26-344,1996,3,2,163,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,01,0,6,5,000,000,000,000,000,004,000,004,004,004,Partidas,c8c60119"
"2542,Birama Touré,ml MLI,LT,Auxerre,fr Ligue 1,30-305,1992,29,29,2.593,28.8,0,0,0,0,0,1,3,0,1.6,0.8,0.1,09,9,113,23,000,000,000,000,000,005,000,006,003,003,Partidas,a4b798a9"
"2543,Souleymane Touré,fr FRA,ZG,Marseille,fr Ligue 1,20-010,2003,5,0,68,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,00,1,2,1,000,000,000,000,000,000,000,000,000,000,Partidas,01fd01e8"
"2544,Souleymane Touré,fr FRA,ZG,Auxerre,fr Ligue 1,20-010,2003,12,11,976,10.8,0,0,0,0,0,0,4,1,0.8,0.8,0.2,10,9,28,3,000,000,000,000,000,008,002,010,008,010,Partidas,01fd01e8"
"2545,Lucas Tousart,fr FRA,LT,Hertha BSC,de Bundesliga,25-343,1997,25,25,2.224,24.7,3,1,4,3,0,0,1,0,2.1,2.1,0.8,29,29,76,58,012,004,016,012,016,008,003,012,008,012,Partidas,71ec39ef"
"2546,Yoann Touzghar,tn TUN,AT,Ajaccio,fr Ligue 1,36-130,1986,9,5,417,4.6,0,0,0,0,0,0,0,0,0.2,0.2,0.0,03,3,7,22,000,000,000,000,000,005,001,006,005,006,Partidas,4e47507a"
"2547,Adama Traoré,es ESP,ATLT,Wolves,eng Premier League,27-072,1996,26,10,1.240,13.8,2,1,3,2,0,0,0,0,1.2,1.2,3.5,47,71,31,138,015,007,022,015,022,009,025,034,009,034,Partidas,9a28eba4"
"2548,Bertrand Traoré,bf BFA,ATLT,Aston Villa,eng Premier League,27-213,1995,3,0,59,0.7,1,0,1,1,0,0,0,0,0.2,0.2,0.1,03,4,2,9,153,000,153,153,153,035,011,046,035,046,Partidas,c47541e0"
"2549,Boubacar Traoré,ml MLI,LT,Wolves,eng Premier League,21-230,2001,8,4,384,4.3,0,1,1,0,0,0,2,0,0.1,0.1,0.2,02,4,8,2,000,023,023,000,023,002,004,006,002,006,Partidas,999ceb5f"
"2550,Charles Traore,ml MLI,ZG,Nantes,fr Ligue 1,31-096,1992,9,4,323,3.6,0,0,0,0,0,0,2,0,0.0,0.0,0.5,05,2,7,6,000,000,000,000,000,000,013,013,000,013,Partidas,de488e56"
"2551,Hamari Traoré,ml MLI,ZG,Rennes,fr Ligue 1,31-070,1992,22,19,1.745,19.4,1,2,3,1,0,0,4,0,1.0,1.0,1.4,25,45,114,117,005,010,015,005,015,005,007,013,005,013,Partidas,a4b1028a"
"2552,Kevin Trapp,de GER,G,Eint Frankfurt,de Bundesliga,32-273,1990,25,25,2.250,25.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,ce17b5eb"
"2553,Mark Travers,ie IRL,G,Bournemouth,eng Premier League,23-324,1999,11,10,945,10.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,fe558029"
